zone,School Name,white_percent,asian_percent,hispanic_percent,black_percent,other_percent,frl_percent,total_percent,avg_distance,MAPD,MAD,overall_avg_distance
497,Webster,11.1,23.8,33.8,10.3,31.4,53.9,25.2,0.877,10.767030292851896,2.3400000000000003,0.896931594032537
999,Mission Bay,8.5,26.3,32.4,10.8,32.7,58.6,74.8,0.904,10.767030292851896,2.3400000000000003,0.896931594032537
