zone,School Name,white_percent,asian_percent,hispanic_percent,black_percent,other_percent,frl_percent,total_percent,avg_distance,MAPD,MAD,overall_avg_distance
497,Webster,9.0,21.2,36.8,10.9,33.0,59.8,50.6,1.144,15.30422868693372,4.56,0.9612788431714815
999,Mission Bay,9.4,30.3,28.7,10.5,31.7,55.0,49.4,0.773,15.30422868693372,4.56,0.9612788431714815
