zone,School Name,white_percent,asian_percent,hispanic_percent,black_percent,other_percent,frl_percent,total_percent,avg_distance,MAPD,MAD,overall_avg_distance
497,Webster,9.6,23.6,33.8,10.1,33.0,56.6,36.2,1.014,7.034190545537215,1.5399999999999978,0.9236584949562949
999,Mission Bay,9.0,26.9,32.2,11.0,32.0,57.9,63.8,0.873,7.034190545537215,1.5399999999999978,0.9236584949562949
