zone,School Name,white_percent,asian_percent,hispanic_percent,black_percent,other_percent,frl_percent,total_percent,avg_distance,MAPD,MAD,overall_avg_distance
497,Webster,9.4,20.9,36.7,10.2,32.9,57.6,41.3,1.088,13.061428826450863,3.2800000000000025,0.9310416437075892
999,Mission Bay,9.0,29.1,30.0,11.0,31.9,57.3,58.7,0.821,13.061428826450863,3.2800000000000025,0.9310416437075892
