zone,School Name,white_percent,asian_percent,hispanic_percent,black_percent,other_percent,frl_percent,total_percent,avg_distance,MAPD,MAD,overall_avg_distance
497,Webster,11.9,23.7,35.0,8.6,29.4,52.7,25.2,0.882,18.931489242408112,3.6799999999999997,0.8956877789337968
999,Mission Bay,8.3,26.4,32.0,11.4,33.4,59.0,74.8,0.9,18.931489242408112,3.6799999999999997,0.8956877789337968
