zone,School Name,white_percent,asian_percent,hispanic_percent,black_percent,other_percent,frl_percent,total_percent,avg_distance,MAPD,MAD,overall_avg_distance
497,Webster,11.7,23.6,35.1,8.8,29.6,53.0,26.2,0.879,18.005969598462865,3.5599999999999996,0.899039408513812
999,Mission Bay,8.3,26.4,32.0,11.3,33.3,59.0,73.8,0.906,18.005969598462865,3.5599999999999996,0.899039408513812
