zone,School Name,white_percent,asian_percent,hispanic_percent,black_percent,other_percent,frl_percent,total_percent,avg_distance,MAPD,MAD,overall_avg_distance
497,Webster,13.9,23.1,34.3,8.0,28.7,51.5,27.9,0.816,26.823627572849855,4.8199999999999985,0.8867941826672059
999,Mission Bay,7.4,26.7,32.2,11.7,33.8,59.7,72.1,0.914,26.823627572849855,4.8199999999999985,0.8867941826672059
