zone,School Name,white_percent,asian_percent,hispanic_percent,black_percent,other_percent,frl_percent,total_percent,avg_distance,MAPD,MAD,overall_avg_distance
497,Webster,9.4,23.0,34.2,10.6,33.5,56.4,38.4,1.013,6.279776687140694,1.7400000000000009,0.931055826108286
999,Mission Bay,9.1,27.4,31.9,10.7,31.7,58.0,61.6,0.88,6.279776687140694,1.7400000000000009,0.931055826108286
