zone,School Name,white_percent,asian_percent,hispanic_percent,black_percent,other_percent,frl_percent,total_percent,avg_distance,MAPD,MAD,overall_avg_distance
497,Webster,9.5,23.1,34.1,10.6,33.3,56.4,37.3,1.019,6.359554258928379,1.6800000000000002,0.9272393267656124
999,Mission Bay,9.0,27.2,32.0,10.7,31.8,58.0,62.7,0.873,6.359554258928379,1.6800000000000002,0.9272393267656124
