case_number,plot,focal_node,focal_area_id,school_id,centroid_node,centroid_area_id,distance_to_centroid_miles,plot_radius_miles,closer_candidate_count
54,case_0054_block_60750126022002_school_790.png,617,60750126022002,790,344,60750111003002,1.112134605095035,,0
55,case_0055_block_60750126022002_school_816.png,617,60750126022002,816,1974,60750203002001,2.839011547100718,,0
56,case_0056_block_60750126022002_school_820.png,617,60750126022002,820,5240,60750314004002,6.506135140349548,,0
57,case_0057_block_60750126022002_school_823.png,617,60750126022002,823,757,60750130001002,0.4748821503400239,,0
58,case_0058_block_60750126022002_school_830.png,617,60750126022002,830,2905,60750231031006,5.3603713838026295,,0
59,case_0059_block_60750126022002_school_834.png,617,60750126022002,834,317,60750110002005,0.8452435683918259,,0
60,case_0060_block_60750126022002_school_838.png,617,60750126022002,838,6848,60750614001002,3.860495799830583,,0
61,case_0061_block_60750126022002_school_842.png,617,60750126022002,842,5035,60750311004007,5.266133868623744,,0
62,case_0062_block_60750126022002_school_859.png,617,60750126022002,859,537,60750124022001,1.6186108905122576,,0
63,case_0063_block_60750126022002_school_867.png,617,60750126022002,867,4141,60750264012005,6.433729202781756,,0
64,case_0064_block_60750126022002_school_876.png,617,60750126022002,876,4672,60750308001002,4.737218526384937,,0
65,case_0065_block_60750126022002_school_999.png,617,60750126022002,999,6635,60750607001031,2.895514885091868,,0
66,case_0066_block_60750126022006_school_562.png,621,60750126022006,562,142,60750104003012,1.0614590784516762,,0
67,case_0067_block_60750126022006_school_801.png,621,60750126022006,801,101,60750103001013,0.5427045361820065,,0
68,case_0068_block_60750126022006_school_872.png,621,60750126022006,872,206,60750106002000,1.3361416085293778,,0
69,case_0069_block_60750126022015_school_420.png,630,60750126022015,420,2297,60750212003004,3.559925774447269,,0
70,case_0070_block_60750126022015_school_435.png,630,60750126022015,435,6191,60750476003004,3.311036710153293,,0
71,case_0071_block_60750126022015_school_453.png,630,60750126022015,453,3058,60750234002018,6.342598312157536,,0
72,case_0072_block_60750126022015_school_456.png,630,60750126022015,456,2776,60750229032009,3.913255488765848,,0
73,case_0073_block_60750126022015_school_478.png,630,60750126022015,478,4283,60750301022010,3.796656190543373,,0
74,case_0074_block_60750126022015_school_481.png,630,60750126022015,481,3793,60750260031009,5.7796478772925175,,0
75,case_0075_block_60750126022015_school_488.png,630,60750126022015,488,4863,60750309005018,5.564195210124729,,0
76,case_0076_block_60750126022015_school_490.png,630,60750126022015,490,375,60750113002001,1.2376679569257856,,0
77,case_0077_block_60750126022015_school_497.png,630,60750126022015,497,2594,60750227022009,3.479499620229177,,0
78,case_0078_block_60750126022015_school_505.png,630,60750126022015,505,2085,60750205002004,3.2090364589067435,,0
79,case_0079_block_60750126022015_school_507.png,630,60750126022015,507,2868,60750230032002,5.340008504347308,,0
80,case_0080_block_60750126022015_school_513.png,630,60750126022015,513,3650,60750257023005,5.434720740416621,,0
81,case_0081_block_60750126022015_school_521.png,630,60750126022015,521,7117,60759805011010,6.097046756346604,,0
82,case_0082_block_60750126022015_school_525.png,630,60750126022015,525,965,60750153001002,1.3168300322738518,,0
83,case_0083_block_60750126022015_school_539.png,630,60750126022015,539,5505,60750330002005,5.324911099964457,,0
84,case_0084_block_60750126022015_school_544.png,630,60750126022015,544,5762,60750351004006,5.176229899622287,,0
85,case_0085_block_60750126022015_school_549.png,630,60750126022015,549,6133,60750452002000,2.790899306080639,,0
